2024, 10, 01, 2024.750, 216,  16.3,  12,  16,
2024, 10, 02, 2024.753, 220,  15.6,  21,  27,
2024, 10, 03, 2024.755, 211,  25.1,  25,  28,
2024, 10, 04, 2024.758, 213,  24.7,  21,  27,
2024, 10, 05, 2024.761, 188,  20.4,  20,  27,
2024, 10, 06, 2024.764, 168,  14.1,  21,  27,
2024, 10, 07, 2024.766, 164,  23.0,  28,  34,
2024, 10, 08, 2024.769, 143,  18.9,  25,  30,
2024, 10, 09, 2024.772, 147,  14.1,  16,  18,
2024, 10, 10, 2024.775, 141,   7.0,  19,  25,
2024, 10, 11, 2024.777, 138,  10.9,  28,  37,
2024, 10, 12, 2024.780, 129,  22.4,  18,  20,
2024, 10, 13, 2024.783, 139,  12.3,  21,  25,
2024, 10, 14, 2024.786, 140,   8.9,  19,  24,
2024, 10, 15, 2024.788, 117,  12.1,  21,  25,
2024, 10, 16, 2024.791, 119,  14.5,  21,  24,
2024, 10, 17, 2024.794, 143,  20.6,  20,  22,
2024, 10, 18, 2024.796, 131,  13.0,  13,  18,
